Date,Rate
7/3/2021,0.811586
7/4/2021,0.811586
7/5/2021,0.810928
7/6/2021,0.800865
7/7/2021,0.800788
7/8/2021,0.798273
7/9/2021,0.8015
7/10/2021,0.80331
7/11/2021,0.80331
7/12/2021,0.802407
7/13/2021,0.79938
7/14/2021,0.799236
7/15/2021,0.794755
7/16/2021,0.794467
7/17/2021,0.793059
7/18/2021,0.793059
7/19/2021,0.782969
7/20/2021,0.786148
7/21/2021,0.79602
7/22/2021,0.795738
7/23/2021,0.795371
7/24/2021,0.795893
7/25/2021,0.795893
7/26/2021,0.797261
7/27/2021,0.795156
7/28/2021,0.795963
7/29/2021,0.803374
7/30/2021,0.801635
7/31/2021,0.801452
8/1/2021,0.801452
8/2/2021,0.800096
8/3/2021,0.796565
8/4/2021,0.797114
8/5/2021,0.799878
8/6/2021,0.795988
8/7/2021,0.796518
8/8/2021,0.796518
8/9/2021,0.794944
8/10/2021,0.798104
8/11/2021,0.800176
8/12/2021,0.798697
8/13/2021,0.799019
8/14/2021,0.799076
8/15/2021,0.799076
8/16/2021,0.79526
8/17/2021,0.791023
8/18/2021,0.791296
8/19/2021,0.781119
8/20/2021,0.778695
8/21/2021,0.779882
8/22/2021,0.779818
8/23/2021,0.789721
8/24/2021,0.793522
8/25/2021,0.792418
8/26/2021,0.789612
8/27/2021,0.79304
8/28/2021,0.792151
8/29/2021,0.792151
8/30/2021,0.793053
8/31/2021,0.792148
9/1/2021,0.793305
9/2/2021,0.796489
9/3/2021,0.798687
9/4/2021,0.798378
9/5/2021,0.798378
9/6/2021,0.798218
9/7/2021,0.79186
9/8/2021,0.789546
9/9/2021,0.791913
9/10/2021,0.791261
9/11/2021,0.788
9/12/2021,0.788
9/13/2021,0.789543
9/14/2021,0.78949
9/15/2021,0.790567
9/16/2021,0.788106
9/17/2021,0.785173
9/18/2021,0.783147
9/19/2021,0.783147
9/20/2021,0.778974
9/21/2021,0.781803
9/22/2021,0.785392
9/23/2021,0.790545
9/24/2021,0.789902
9/27/2021,0.792214
9/28/2021,0.787833
9/29/2021,0.783592
9/30/2021,0.788267
10/1/2021,0.790754
10/2/2021,0.790526
10/3/2021,0.790526
10/4/2021,0.795058
10/5/2021,0.795169
10/6/2021,0.792528
10/7/2021,0.796454
10/8/2021,0.801606
10/9/2021,0.801828
10/10/2021,0.801828
10/11/2021,0.802028
10/12/2021,0.802539
10/13/2021,0.80362
10/14/2021,0.808277
10/15/2021,0.80693
10/16/2021,0.807931
10/17/2021,0.807931
10/18/2021,0.808528
10/19/2021,0.809297
10/20/2021,0.811978
10/21/2021,0.80912
10/22/2021,0.808427
10/23/2021,0.808594
10/24/2021,0.808571
10/25/2021,0.806517
10/26/2021,0.806829
10/27/2021,0.811385
10/28/2021,0.809762
10/29/2021,0.806881
10/30/2021,0.8072
10/31/2021,0.8072
11/1/2021,0.809379
11/2/2021,0.805442
11/3/2021,0.80551
11/4/2021,0.802237
11/5/2021,0.804072
11/6/2021,0.8026
11/7/2021,0.8026
11/8/2021,0.803639
11/9/2021,0.802407
11/10/2021,0.803477
11/11/2021,0.794635
11/12/2021,0.796331
11/13/2021,0.796762
11/14/2021,0.796762
11/15/2021,0.798585
11/16/2021,0.796851
11/17/2021,0.793506
11/18/2021,0.791606
11/19/2021,0.791512
11/20/2021,0.790883
11/21/2021,0.790883
11/22/2021,0.788177
11/23/2021,0.786501
11/24/2021,0.790173
11/25/2021,0.790423
11/26/2021,0.782871
11/27/2021,0.781525
11/28/2021,0.781525
11/29/2021,0.781928
11/30/2021,0.780186
12/1/2021,0.782852
12/2/2021,0.780503
12/3/2021,0.779584
12/4/2021,0.778792
12/5/2021,0.778792
12/6/2021,0.782136
12/7/2021,0.790301
12/8/2021,0.790283
12/9/2021,0.787423
12/10/2021,0.786828
12/11/2021,0.7857
12/12/2021,0.7857
12/13/2021,0.781158
12/14/2021,0.777877
12/15/2021,0.774443
12/16/2021,0.782831
12/17/2021,0.779153
12/20/2021,0.772696
12/21/2021,0.773404
12/22/2021,0.778392
12/23/2021,0.780403
12/24/2021,0.780199
12/25/2021,0.780488
12/26/2021,0.780488
12/27/2021,0.781516
12/28/2021,0.780466
12/29/2021,0.780655
12/30/2021,0.782485
12/31/2021,0.790148
1/3/2022,0.783994
1/4/2022,0.787082
1/5/2022,0.787045
1/6/2022,0.785555
1/7/2022,0.790511
1/8/2022,0.790786
1/9/2022,0.790786
1/10/2022,0.788494
1/11/2022,0.793459
1/12/2022,0.799958
1/13/2022,0.801266
1/14/2022,0.796645
1/15/2022,0.796524
1/16/2022,0.796524
1/17/2022,0.798846
1/18/2022,0.797706
1/19/2022,0.800458
1/20/2022,0.802108
1/21/2022,0.797032
1/22/2022,0.794909
1/23/2022,0.794909
1/24/2022,0.787858
1/25/2022,0.791493
1/26/2022,0.793638
1/27/2022,0.786627
1/28/2022,0.783635
1/29/2022,0.782981
1/30/2022,0.783484
1/31/2022,0.787398
2/1/2022,0.787991
2/2/2022,0.78787
2/3/2022,0.788849
2/4/2022,0.783628
2/5/2022,0.783874
2/6/2022,0.783874
2/7/2022,0.787882
2/8/2022,0.786627
2/9/2022,0.789173
2/10/2022,0.790598
2/11/2022,0.788267
2/12/2022,0.785182
2/13/2022,0.785182
2/14/2022,0.784895
2/15/2022,0.784483
2/16/2022,0.787907
2/17/2022,0.788062
2/18/2022,0.784372
2/19/2022,0.783914
2/20/2022,0.783914
2/21/2022,0.784883
2/22/2022,0.785074
2/23/2022,0.785969
2/24/2022,0.778165
2/25/2022,0.784772
2/26/2022,0.786569
2/27/2022,0.786569
2/28/2022,0.789515
3/1/2022,0.787213
3/2/2022,0.789762
3/3/2022,0.789064
3/4/2022,0.783426
3/5/2022,0.785164
3/6/2022,0.785164
3/7/2022,0.783162
3/8/2022,0.775684
3/9/2022,0.780793
3/10/2022,0.782561
3/11/2022,0.785836
3/12/2022,0.783503
3/13/2022,0.783503
3/14/2022,0.782191
3/15/2022,0.781974
3/16/2022,0.785635
3/17/2022,0.790917
3/18/2022,0.792484
3/19/2022,0.793116
3/20/2022,0.793116
3/21/2022,0.795238
3/22/2022,0.793818
3/23/2022,0.796505
3/24/2022,0.79693
3/25/2022,0.800791
3/26/2022,0.800801
3/27/2022,0.800801
3/28/2022,0.797375
3/29/2022,0.798834
3/30/2022,0.8017
3/31/2022,0.800733
4/1/2022,0.798132
4/3/2022,0.798786
4/4/2022,0.799968
4/5/2022,0.802114
4/6/2022,0.799562
4/7/2022,0.793578
4/8/2022,0.794745
4/9/2022,0.795748
4/10/2022,0.795748
4/11/2022,0.791449
4/12/2022,0.792723
4/13/2022,0.794502
4/14/2022,0.792167
4/15/2022,0.793176
4/16/2022,0.792776
4/17/2022,0.792776
4/18/2022,0.792424
4/19/2022,0.791985
4/20/2022,0.80033
4/21/2022,0.796664
4/22/2022,0.786501
4/23/2022,0.785176
4/24/2022,0.785176
4/25/2022,0.783435
4/26/2022,0.781525
4/27/2022,0.780881
4/28/2022,0.780975
4/29/2022,0.779976
4/30/2022,0.778619
5/1/2022,0.778619
5/2/2022,0.775416
